1116,f,I,M,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,"",O,W
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,"",C,W
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,N,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,D,P,D,federal:house,federal:house,I,W
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,D,C,D,"","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,R,C,R,"","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,federal:house,I,W
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,D,P,D,federal:house,federal:house,I,L
1116,f,I,M,D,C,D,"","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,D,C,D,"","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,F,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,federal:house,I,W
1116,f,I,M,D,C,D,"","","",""
1116,f,I,M,"",C,"","","","",""
1116,f,I,M,R,P,R,federal:house,"",O,W
1117,f,C,"",R,P,"",federal:house,"",I,""
1117,f,C,"",D,P,"",federal:house,"",O,L
1117,f,C,"",D,P,"",federal:senate,federal:senate,I,L
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:senate,federal:senate,I,L
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",D,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
1117,f,C,"",R,P,"",federal:house,federal:house,I,W
